,Recall,Specificity,F1-Score,Test Accuracy,Test Loss,AUROC,Test Accuracy (Balanced),Train Loss
75,0.0,1.0,0.0,96.21516418457031,0.01388472318649292,0.6398984789848328,0.5,0.01712382212281227
76,0.0,1.0,0.0,96.21516418457031,0.013883557170629501,0.641764223575592,0.5,0.01709522306919098
77,0.0,1.0,0.0,96.21516418457031,0.013872018083930016,0.6423866748809814,0.5,0.0170136708766222
78,0.0,1.0,0.0,96.21516418457031,0.013892348855733871,0.6462579965591431,0.5,0.017037255689501762
79,0.0,1.0,0.0,96.21516418457031,0.013852542266249657,0.6458529233932495,0.5,0.017023323103785515
80,0.0,1.0,0.0,96.21516418457031,0.013855515979230404,0.6483295559883118,0.5,0.016986407339572906
81,0.0,1.0,0.0,96.21516418457031,0.013857381418347359,0.6506730318069458,0.5,0.017032628878951073
82,0.0,1.0,0.0,96.21516418457031,0.013870079070329666,0.6519635319709778,0.5,0.01699441485106945
83,0.0,1.0,0.0,96.21516418457031,0.013833374716341496,0.6532954573631287,0.5,0.017010223120450974
84,0.0,1.0,0.0,96.21516418457031,0.013825123198330402,0.6543658971786499,0.5,0.01699140854179859
85,0.0,1.0,0.0,96.21516418457031,0.013816729187965393,0.6569957137107849,0.5,0.01696258783340454
86,0.0,1.0,0.0,96.21516418457031,0.013810479082167149,0.6583484411239624,0.5,0.016991332173347473
87,0.0,1.0,0.0,96.21516418457031,0.013821258209645748,0.6592879295349121,0.5,0.016950221732258797
88,0.0,1.0,0.0,96.21516418457031,0.013823842629790306,0.6610590219497681,0.5,0.01692442037165165
89,0.0,1.0,0.0,96.21516418457031,0.013801450841128826,0.6636254787445068,0.5,0.016913140192627907
90,0.0,1.0,0.0,96.21516418457031,0.013784882612526417,0.663353681564331,0.5,0.016907548531889915
91,0.0,1.0,0.0,96.21516418457031,0.013761315494775772,0.6666399240493774,0.5,0.016915637999773026
92,0.0,1.0,0.0,96.21516418457031,0.013765336945652962,0.6658158898353577,0.5,0.016919441521167755
93,0.0,1.0,0.0,96.21516418457031,0.013754094950854778,0.6679500341415405,0.5,0.01688382960855961
94,0.0,1.0,0.0,96.21516418457031,0.01377414632588625,0.6688473224639893,0.5,0.01691274158656597
95,0.0,1.0,0.0,96.21516418457031,0.013751315884292126,0.6706549525260925,0.5,0.016875147819519043
96,0.0,1.0,0.0,96.21516418457031,0.013783513568341732,0.6713240742683411,0.5,0.016902582719922066
97,0.0,1.0,0.0,96.21516418457031,0.013737963512539864,0.6724094152450562,0.5,0.016840586438775063
98,0.0,1.0,0.0,96.21516418457031,0.013748936355113983,0.6728821396827698,0.5,0.016860604286193848
99,0.0,1.0,0.0,96.21516418457031,0.01370061282068491,0.6773674488067627,0.5,0.016780370846390724
